20141103_0001_0014,1301,194.5,200.8,6.3,0.52,0.40,167
20160823_0001_0027,489,57.8,64.1,6.3,0.48,0.46,168
20160822_0001_0036,107,207.3,213.6,6.3,0.50,0.43,169
20141103_0001_0012,248,111.1,117.4,6.3,0.51,0.54,170
20160113_0002_0033,153,53.7,60.0,6.3,0.49,0.56,171
20141103_0001_0009,478,154.0,160.3,6.3,0.50,0.56,172
20160121_0001_0028,92,129.6,135.9,6.3,0.48,0.58,173
20141103_0001_0018,85,351.9,358.2,6.4,0.48,0.53,174
20160112_0001_0068,138,83.7,90.1,6.4,0.51,0.59,175
20141103_0001_0009,241,66.0,72.3,6.4,0.49,0.43,176
20141103_0001_0021,1173,231.4,237.8,6.4,0.50,0.56,177
20141103_0001_0009,157,383.3,389.7,6.4,0.48,0.47,178
20160113_0002_0045,54,69.0,75.5,6.5,0.51,0.54,179
20160121_0001_0022,444,137.5,144.0,6.5,0.50,0.50,180
20160819_0002_0016,3058,262.8,269.3,6.5,0.50,0.34,181
20141104_0001_0002,15,211.1,217.6,6.5,0.49,0.53,182
20141103_0001_0022,873,146.8,153.3,6.5,0.47,0.54,183
20160121_0001_0042,839,198.9,205.4,6.5,0.52,0.48,184
20160819_0002_0002,230,4.6,11.1,6.5,0.39,0.57,185
20141104_0001_0010,3060,4.5,11.0,6.5,0.43,0.58,186
20160111_0001_0016,201,55.5,62.0,6.5,0.48,0.53,187
20160111_0001_0009,242,70.6,77.2,6.6,0.50,0.46,188
20141103_0001_0028,346,165.0,171.6,6.6,0.49,0.46,189
20160113_0002_0026,174,34.0,40.6,6.6,0.51,0.45,190
20160111_0001_0015,258,255.5,262.2,6.6,0.50,0.60,191
20160823_0001_0027,1283,9.6,16.3,6.7,0.41,0.58,192
20141103_0001_0013,282,13.7,20.3,6.7,0.47,0.50,193
20160113_0002_0044,36,22.1,28.8,6.7,0.51,0.51,194
20160113_0002_0027,287,181.9,188.5,6.7,0.50,0.52,195
20160112_0001_0048,16,47.2,53.9,6.7,0.50,0.56,196
20141104_0001_0001,83,3.2,9.9,6.7,0.45,0.49,197
20141104_0001_0002,1848,43.4,50.1,6.7,0.48,0.53,198
20141104_0001_0002,2422,74.5,81.2,6.7,0.49,0.45,199
20160822_0001_0056,766,76.0,82.7,6.7,0.50,0.67,200
20160822_0001_0036,1433,179.1,185.9,6.7,0.49,0.43,201
20160121_0001_0041,306,33.2,39.9,6.7,0.48,0.51,202
20141103_0001_0002,1000,268.1,274.9,6.7,0.50,0.35,203
20160111_0001_0011,197,21.6,28.4,6.8,0.49,0.50,204
20160822_0001_0031,423,349.9,356.7,6.8,0.50,0.45,205
20160819_0002_0010,6637,50.0,56.9,6.9,0.51,0.50,206
20141104_0001_0005,406,128.1,135.0,6.9,0.51,0.57,207
20160113_0002_0046,59,292.6,299.5,6.9,0.50,0.49,208
20160113_0002_0046,134,8.5,15.4,6.9,0.45,0.50,209
20160111_0001_0031,4173,166.3,173.2,6.9,0.50,0.54,210
20141103_0001_0024,4739,172.6,179.5,6.9,0.50,0.49,211
20141103_0001_0015,405,35.6,42.5,6.9,0.49,0.39,212
20160823_0001_0027,1095,8.9,15.9,6.9,0.45,0.54,213
20141103_0001_0029,1066,104.2,111.1,7.0,0.48,0.50,214
20141104_0001_0003,52,126.4,133.4,7.0,0.48,0.51,215
20160822_0001_0038,278,151.5,158.6,7.0,0.52,0.55,216
20160112_0001_0068,73,125.1,132.2,7.0,0.54,0.48,217
20141104_0001_0002,711,9.1,16.1,7.0,0.47,0.53,218
20141103_0001_0001,73,421.1,428.2,7.1,0.50,0.50,219
20160112_0001_0014,649,83.4,90.4,7.1,0.51,0.58,220
20160113_0002_0045,64,36.1,43.2,7.1,0.49,0.50,221
20141103_0001_0006,331,265.1,272.2,7.1,0.49,0.41,222
20160113_0002_0027,546,120.2,127.3,7.1,0.48,0.68,223
20160112_0001_0064,61,120.5,127.6,7.1,0.50,0.39,224
20160111_0001_0032,3535,40.9,48.0,7.1,0.50,0.51,225
20141103_0001_0019,267,304.3,311.4,7.1,0.49,0.51,226
20141104_0001_0002,202,137.9,145.0,7.1,0.50,0.57,227
20141103_0001_0016,3634,7.0,14.1,7.1,0.45,0.57,228
20160823_0001_0028,550,202.1,209.2,7.2,0.50,0.55,229
20160121_0001_0041,374,12.5,19.7,7.2,0.46,0.56,230
20160819_0002_0013,248,330.7,337.9,7.2,0.51,0.36,231
20141104_0001_0003,1976,1.4,8.6,7.2,0.30,0.54,232
20160819_0002_0006,2332,11.6,18.8,7.2,0.45,0.61,233
20160823_0001_0025,5528,100.1,107.3,7.2,0.53,0.54,234
20141103_0001_0024,506,76.9,84.2,7.2,0.50,0.49,235
20141103_0001_0007,361,139.3,146.6,7.3,0.49,0.51,236
