folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0058_060deb32-8d20-4b74-82ac-20f74903c212,1180,x,,,,,,55,118,,,,30,150
,,,x,,,,,31,49,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0058_060deb32-8d20-4b74-82ac-20f74903c212,2938,x,,,,,,60,82,,,,30,150
,,x,,,,,,87,93,,,
,,x,,,,,,100,110,,,
,,,x,,,,,120,145,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0060_6781b99f-0c1e-4b28-b561-2c3d466d0bb5,5528,x,,,,,,289,339,,,,240,460
,,x,,,,,,247,260,,,
,,,x,,,,,265,284,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0003_9c9a6ff0-5b50-4151-a5fa-eac9bf512599,4454,x,,,,,,183,212,,,,2,350
,,,x,,,,,271,316,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0005_8478fca6-f6da-4782-b1bc-a16e90e70413,233,x,,,,,,81,117,,,,2,130
,,,x,,,,,17,35,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0005_8478fca6-f6da-4782-b1bc-a16e90e70413,682,x,,,,,,84,103,,,,2,130
,,,x,,,,,37,61,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0008_f6621cdd-2532-4964-9f9b-92a12cad6bed,1016,x,,,,,,208,276,,,,2,913
,,,x,,,,,152,178,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0009_cc6cc9f1-5855-4a5c-a8bb-a0588b390e53,1063,x,,,,,,191,258,,,,60,918
,,x,,,,,,317,376,,,
,,,x,,,,,104,141,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0013_9a2b276c-c27d-4cdd-ac7d-cff5ef338afd,2943,x,,,,,,421,439,,,,130,690
,,,x,,,,,337,384,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0015_934929c9-31dd-437a-83d6-8801414a5348,17,x,,,,,,37,63,,,,2,380
,,x,,,,,,74,106,,,
,,,x,,,,,3,15,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0016_5de70241-3ebc-4578-ae1d-50fe7065b2a2,1990,x,,,,,,246,281,,,,60,703
,,x,,,,,,288,301,,,
,,,x,,,,,161,184,,,
,,,x,,,,,190,209,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0019_edc07368-98c2-4bc5-9516-5d6ffb96457a,682,x,,,,,,270,288,,,,2,831
,,x,,,,,,343,357,,,
,,,x,,,,,193,229,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0020_3a9270a7-8e6a-42a9-9413-f3ed37997d54,532,x,,,,,,110,147,,,,50,649
,,,x,,,,,93,105,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0021_0c75e867-25f5-4103-a2b2-76feb2d4d82d,178,x,,,,,,190,225,,,,30,550
,,,x,,,,,135,186,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0021_0c75e867-25f5-4103-a2b2-76feb2d4d82d,986,x,,,,,,351,391,,,,30,550
,,x,,,,,,404,431,,,
,,,x,,,,,436,471,,,
,,,x,,,,,483,505,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0028_b866e795-71f3-4f04-97c7-2dad50747d98,16,x,,,,,,126,136,,,
,,x,,,,,,140,148,,,
,,x,,,,,,158,165,,,
,,x,,,,,,171,257,,,
,,x,,,,,,261,280,,,
,,,x,,,,,80,122,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0028_b866e795-71f3-4f04-97c7-2dad50747d98,4445,x,,,,,,254,321,,,
,,x,,,,,,343,402,,,
